Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:37:05.650,114253.7,0.001,BTCUSDT
2025-09-30 00:37:05.650,114253.7,0.001,BTCUSDT
2025-09-30 00:37:05.650,114253.7,0.001,BTCUSDT
2025-09-30 00:37:05.650,114253.7,0.002,BTCUSDT
2025-09-30 00:37:05.650,114253.7,0.004,BTCUSDT
2025-09-30 00:37:05.650,114253.7,0.007,BTCUSDT
2025-09-30 00:37:05.706,114253.7,0.008,BTCUSDT
2025-09-30 00:37:05.708,114253.7,0.012,BTCUSDT
2025-09-30 00:37:05.708,114253.7,0.006,BTCUSDT
2025-09-30 00:37:05.708,114253.7,0.002,BTCUSDT
2025-09-30 00:37:05.708,114253.8,0.001,BTCUSDT
2025-09-30 00:37:05.708,114253.8,0.001,BTCUSDT
2025-09-30 00:37:05.708,114254.3,0.002,BTCUSDT
2025-09-30 00:37:05.708,114254.4,0.002,BTCUSDT
2025-09-30 00:37:05.708,114255.1,0.002,BTCUSDT
2025-09-30 00:37:05.708,114255.2,0.077,BTCUSDT
2025-09-30 00:37:05.708,114255.3,0.002,BTCUSDT
2025-09-30 00:37:05.708,114255.7,0.002,BTCUSDT
2025-09-30 00:37:05.708,114255.7,0.001,BTCUSDT
2025-09-30 00:37:05.708,114255.9,0.001,BTCUSDT
2025-09-30 00:37:05.708,114255.9,0.001,BTCUSDT
2025-09-30 00:37:05.708,114256.6,0.002,BTCUSDT
2025-09-30 00:37:05.708,114256.7,0.005,BTCUSDT
2025-09-30 00:37:05.712,114257.2,0.002,BTCUSDT
2025-09-30 00:37:05.712,114257.2,0.001,BTCUSDT
2025-09-30 00:37:05.712,114257.2,0.001,BTCUSDT
2025-09-30 00:37:05.712,114257.2,0.001,BTCUSDT
2025-09-30 00:37:05.715,114257.8,0.002,BTCUSDT
2025-09-30 00:37:05.715,114257.8,0.001,BTCUSDT
2025-09-30 00:37:05.715,114257.8,0.005,BTCUSDT
2025-09-30 00:37:05.716,114257.8,0.011,BTCUSDT
2025-09-30 00:37:05.719,114257.8,0.011,BTCUSDT
2025-09-30 00:37:05.800,114257.8,0.001,BTCUSDT
2025-09-30 00:37:05.800,114257.8,0.001,BTCUSDT
2025-09-30 00:37:05.800,114257.8,0.002,BTCUSDT
2025-09-30 00:37:05.800,114257.8,0.001,BTCUSDT
2025-09-30 00:37:05.800,114257.9,0.001,BTCUSDT
2025-09-30 00:37:05.800,114257.9,0.001,BTCUSDT
2025-09-30 00:37:05.800,114257.9,0.001,BTCUSDT
2025-09-30 00:37:05.800,114258.4,0.001,BTCUSDT
2025-09-30 00:37:05.923,114258.4,0.013,BTCUSDT
2025-09-30 00:37:05.970,114258.5,0.001,BTCUSDT
2025-09-30 00:37:06.000,114258.4,0.033,BTCUSDT
2025-09-30 00:37:06.035,114258.4,0.008,BTCUSDT
2025-09-30 00:37:06.114,114258.4,0.003,BTCUSDT
2025-09-30 00:37:06.123,114258.4,0.017,BTCUSDT
2025-09-30 00:37:06.421,114258.5,0.017,BTCUSDT
2025-09-30 00:37:06.421,114258.5,0.003,BTCUSDT
2025-09-30 00:37:06.421,114258.5,0.002,BTCUSDT
2025-09-30 00:37:06.421,114258.5,0.005,BTCUSDT
2025-09-30 00:37:06.421,114258.5,0.023,BTCUSDT
2025-09-30 00:37:06.421,114258.5,0.009,BTCUSDT
2025-09-30 00:37:06.444,114258.5,0.01,BTCUSDT
2025-09-30 00:37:06.449,114258.5,0.018,BTCUSDT
2025-09-30 00:37:06.510,114258.5,0.008,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.093,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.001,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.001,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.009,BTCUSDT
2025-09-30 00:37:06.515,114258.5,1.043,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.013,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.002,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.003,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.002,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.001,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.001,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.001,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.002,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.001,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.004,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.039,BTCUSDT
2025-09-30 00:37:06.515,114258.5,0.001,BTCUSDT
